"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"CENTERLINE_PITCH";"COMMENT";"DESCRIPTION";"EU_ROHS_COMPLIANCE";"HOUSEPART";"MF";"MP";"MPN";"NUMBER_OF_POSITIONS";"PACKAGE";"POPULATE";"PRICE";"PRODUCT_TYPE";"PURCHASE-URL";"TOLERANCE";"URL";"VOLTAGE";
"C1";"220uF";"CAPACITOR_P_10MM";"CP10MM";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";
"D1";"GRN LED";"LED";"EIA-STD";"EIA-STD LED, LTST-C191TBKT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D2";"RED LED";"LED";"EIA-STD";"EIA-STD LED, LTST-C191TBKT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D3";"GRN LED";"LED";"EIA-STD";"EIA-STD LED, LTST-C191TBKT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FUD1";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FUD2";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FUD3";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FUD4";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FUD5";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FUD6";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J1";"292303-1";"292303-1";"TE_292303-1";"CONN USB RECEPT R/A TYPE A 4POS Check availability";"In Stock";"2 mm[.078 in]";"292303-1";" Conn";" Data";" USB";" Recept";" 2.0";" 4 Pos";" 1 Port";" Rt Angle";" A Ser";" Tin over Copper ";"Compliant";"";"TE Connectivity";"292303-1";"";
"J2";"SPI_LCD";"SPI_LCD";"TFT_LCD_PCB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"MGT1";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"Chassis Mounting Hole w/GND connection ability";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"MGT2";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"Chassis Mounting Hole w/GND connection ability";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"MGT3";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"Chassis Mounting Hole w/GND connection ability";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"MGT4";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"Chassis Mounting Hole w/GND connection ability";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"POTENTIOMETER";"POTENTIOMETER";"POT-PO90S";"Potentiometer - Examples:";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"1k";"R_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R4";"1k";"R_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R5";"0.1";"R_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R6";"POTENTIOMETER";"POTENTIOMETER";"POT-PO90S";"Potentiometer - Examples:";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SW1";"PUSH_BUTTON";"PUSH_BUTTON";"BUTTON_12.5MM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SW2";"PUSH_BUTTON";"PUSH_BUTTON";"BUTTON_12.5MM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"POCKETBEAGLE";"POCKETBEAGLE";"POCKETBEAGLE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
